Férfi ↓ Nő →;Aswini 1;Aswini 2;Aswini 3;Aswini 4;Bharani 1;Bharani 2;Bharani 3;Bharani 4;Krittika 1;Krittika 2;Krittika 3;Krittika 4;Rohini 1;Rohini 2;Rohini 3;Rohini 4;Mirigasrisam 1;Mirigasrisam 2;Mirigasirisam 3;Mirigasirisam 4;Adra 1;Adra 2;Adra 3;Adra 4;Punarpusam 1;Punarpusam 2;Punarpusam 3;Punarpusam 4;Poosam 1;Poosam 2;Poosam 3;Poosam 4;Ayilyam 1;Ayilyam 2;Ayilyam 3;Ayilyam 4;Magam 1;Magam 2;Magam 3;Magam 4;Pooram 1;Pooram 2;Pooram 3;Pooram 4;Utthiram 1;Utthiram 2;Utthiram 3;Utthiram 4;Astham 1;Astham 2;Astham 3;Astham 4;Chittirai 1;Chittirai 2;Chittirai 3;Chittirai 4;Swati 1;Swati 2;Swati 3;Swati 4;Visakam 1;Visakam 2;Visakam 3;Visakam 4;Anusham 1;Anusham 2;Anusham 3;Anusham 4;Ketai 1;Ketai 2;Ketai 3;Ketai 4;Mulam 1;Mulam 2;Mulam 3;Mulam 4;Pooradam 1;Pooradam 2;Pooradam 3;Pooradam 4;Utthiradam 1;Utthiradam 2;Utthiradam 3;Utthiradam 4;Thiruvonam 1;Thiruvonam 2;Thiruvonam 3;Thiruvonam 4;Avittam 1;Avittam 2;Avittam 3;Avittam 4;Sathayam 1;Sathayam 2;Sathayam 3;Sathayam 4;Pooratadhi 1;Pooratadhi 2;Pooratadhi 3;Pooratadhi 4;Utthiratadhi 1;Utthiratadhi 2;Utthiratadhi 3;Utthiratadhi 4;Revati 1;Revati 2;Revati 3;Revati 4
Ketai 4;13;13;8,5;8,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;30;30;30;30;25;25;25;25;20;10;10;10;8;8;8;8;18;18;18;20,5;26,5;26,5;26,5;26,5;25,5;25,5;25,5;28,5;25,5;25,5;25,5;25,5;15,5;15,5;15,5;15,5;15,5;15,5;15,5;15,5;24,5;24,5;24,5;24,5;19;19;19;19;20;20;20;20;21;30;30;30;27;27;28;28;24;24;24;12;22;22;22;22;17;17;17;17;18;26;26;26;27;27;27;27;22;22;22;22;16;16;16;16;29;29;25;25;22;22;22;22
Mulam 1;14;14;9,5;9,5;19,5;19,5;19,5;19,5;19,5;21,5;21,5;21,5;27;27;27;27;28;28;28;28;21;11;11;11;10;10;10;10;14;14;14;16,5;25,5;25,5;25,5;25,5;24,5;24,5;24,5;24,5;27,5;24,5;24,5;24,5;17,5;17,5;17,5;17,5;12,5;12,5;12,5;12,5;27,5;27,5;27,5;27,5;16;16;16;16;23;23;23;23;14;23;23;23;24;24;28;28;19;19;19;19;19;19;19;19;19;19;19;19;15;23;23;23;30;30;30;30;20;20;20;20;19;19;19;19;25;25;21;21;22;22;22;22
Mulam 2;14;14;9,5;9,5;19,5;19,5;19,5;19,5;21,5;21,5;21,5;32;27;27;27;27;28;28;28;28;21;11;11;11;10;10;10;10;14;14;14;16,5;25,5;25,5;25,5;25,5;24,5;24,5;24,5;27,5;24,5;24,5;24,5;24,5;17,5;17,5;17,5;17,5;12,5;12,5;12,5;12,5;27,5;27,5;27,5;27,5;16;16;16;16;23;23;23;23;14;23;23;23;23;23;24;24;28;28;28;19;19;19;19;19;19;19;19;19;15;23;23;23;30;30;30;30;20;20;20;20;19;19;19;19;25;21;21;21;22;22;22;22
Mulam 3;14;14;9,5;9,5;19,5;19,5;19,5;19,5;21,5;21,5;21,5;32;27;27;27;27;28;28;28;28;21;11;11;11;10;10;10;10;14;14;16,5;16,5;25,5;25,5;25,5;25,5;24,5;24,5;24,5;27,5;24,5;24,5;24,5;24,5;17,5;17,5;17,5;17,5;12,5;12,5;12,5;12,5;27,5;27,5;27,5;27,5;16;16;16;16;23;23;23;23;14;23;23;23;23;23;24;24;28;28;28;19;19;19;19;19;19;19;19;19;15;23;23;23;30;30;30;30;20;20;20;20;19;19;19;19;25;21;21;21;22;22;22;22
Mulam 4;15,5;15,5;14;14;24;24;24;24;26;26;26;26;19;19;19;19;20;20;20;20;13;19;19;19;18;18;18;18;22;22;10,5;10,5;19,5;19,5;19,5;19,5;18,5;18,5;18,5;24;21;21;21;21;14;14;14;14;17;17;17;17;32;32;32;32;18,5;18,5;18,5;18,5;25,5;25,5;25,5;25,5;16,5;13;13;13;14;14;18;18;18;18;18;28;31;31;31;31;28;28;28;28;24;18;18;18;25;25;25;25;15;18;18;18;17;17;17;17;23;23;22,5;22,5;23,5;23,5;23,5;23,5
Pooradam 1;26,5;26,5;25;25;20;20;20;20;19;19;19;17;25;25;25;25;11;11;11;11;25;31;31;31;26;26;26;26;18;18;18;6,5;11,5;11,5;11,5;11,5;13,5;13,5;13,5;19;17;17;17;17;25;25;25;25;30;30;30;30;15;15;15;15;23,5;23,5;23,5;23,5;16,5;16,5;16,5;16,5;15,5;12;12;12;14;14;15;15;18;18;18;28;28;28;28;28;33;33;33;33;25;25;25;25;9;9;9;9;21;24;24;24;26;26;26;26;21;21;20,5;20,5;23,5;23,5;23,5;23,5
Pooradam 2;26,5;26,5;25;25;20;20;20;20;19;19;19;17;25;25;25;25;11;11;11;11;25;31;31;31;26;26;26;26;18;18;18;6,5;11,5;11,5;11,5;11,5;13,5;13,5;13,5;19;17;17;17;17;25;25;25;25;30;30;30;30;15;15;15;15;23,5;23,5;23,5;23,5;16,5;16,5;16,5;16,5;15,5;12;12;12;14;14;15;15;18;18;18;28;28;28;28;28;33;33;33;33;25;25;25;25;9;9;9;9;21;24;24;24;26;26;26;26;21;21;20,5;20,5;23,5;23,5;23,5;23,5
Pooradam 3;26,5;26,5;25;25;20;20;20;20;19;19;19;17;25;25;25;25;11;11;11;11;25;31;31;31;26;26;26;26;18;18;18;6,5;11,5;11,5;11,5;11,5;13,5;13,5;13,5;19;17;17;17;17;25;25;25;25;30;30;30;30;15;15;15;15;23,5;23,5;23,5;23,5;16,5;16,5;16,5;16,5;15,5;12;12;12;14;14;15;15;18;18;18;28;28;28;28;28;33;33;33;33;25;25;25;25;9;9;9;9;21;24;24;24;26;26;26;26;21;21;20,5;20,5;23,5;23,5;23,5;23,5
Pooradam 4;26,5;26,5;25;25;20;20;20;20;19;19;19;17;25;25;25;25;11;11;11;11;25;31;31;31;26;26;26;26;18;18;18;6,5;11,5;11,5;11,5;11,5;13,5;13,5;13,5;19;17;17;17;17;25;25;25;25;30;30;30;30;15;15;15;15;23,5;23,5;23,5;23,5;16,5;16,5;16,5;16,5;15,5;12;12;12;14;14;15;15;18;18;28;28;28;28;28;28;33;33;33;33;25;25;25;25;9;9;9;9;21;24;24;24;26;26;26;26;21;21;20,5;20,5;23,5;23,5;23,5;23,5
Utthiradam 1;20,5;20,5;19;19;25;25;25;25;12;12;12;11,5;14,5;14,5;14,5;14,5;19,5;19,5;19,5;19,5;20,5;29;29;29;30;30;30;30;28;28;28;15;6;6;6;6;2;2;2;2;23,5;23,5;23,5;23,5;24,5;24,5;24,5;24,5;32,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;20,5;16,5;16,5;16,5;16,5;16,5;16;16;12;12;12;22;33;33;33;33;28;28;28;28;12,5;12,5;12,5;12,5;19,5;19,5;19,5;19,5;16,5;22;22;22;31;31;31;31;28;28;23,5;23,5;15,5;15,5;15,5;15,5
Utthiradam 2;20,5;20,5;19;19;25;25;25;25;12;12;12;11,5;14,5;14,5;14,5;14,5;19,5;19,5;19,5;19,5;20,5;29;29;29;30;30;30;30;28;28;28;15;6;6;6;6;2;2;2;2;23,5;23,5;23,5;23,5;24,5;24,5;24,5;24,5;32,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;20,5;16,5;16,5;16,5;16,5;16,5;16;16;12;12;12;22;33;33;33;33;28;28;28;28;12,5;12,5;12,5;12,5;19,5;19,5;19,5;19,5;16,5;22;22;22;31;31;31;31;28;28;23,5;23,5;15,5;15,5;15,5;15,5
Utthiradam 3;20,5;20,5;19;19;25;25;25;25;12;12;12;11,5;14,5;14,5;14,5;14,5;19,5;19,5;19,5;19,5;20,5;29;29;29;30;30;30;30;28;28;28;15;6;6;6;6;2;2;2;6,5;23,5;23,5;23,5;23,5;24,5;24,5;24,5;24,5;32,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;20,5;16,5;16,5;16,5;16,5;16,5;16;16;12;12;12;22;33;33;33;33;28;28;28;28;12,5;12,5;12,5;12,5;19,5;19,5;19,5;19,5;16,5;22;22;22;31;31;31;31;28;28;23,5;23,5;15,5;15,5;15,5;15,5
Utthiradam 4;20,5;20,5;19;19;25;25;25;25;12;12;12;11,5;14,5;14,5;14,5;14,5;19,5;19,5;19,5;19,5;20,5;29;29;29;30;30;30;30;28;28;28;15;6;6;6;6;2;2;2;6,5;23,5;23,5;23,5;23,5;24,5;24,5;24,5;24,5;32,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;20,5;16,5;16,5;16,5;16,5;16,5;16;16;12;12;12;22;33;33;33;33;28;28;28;28;12,5;12,5;12,5;12,5;19,5;19,5;19,5;19,5;16,5;22;22;22;31;31;31;31;28;28;23,5;23,5;15,5;15,5;15,5;15,5
Thiruvonam 1;27,5;27,5;26;26;22;22;22;22;9;9;9;9;15,5;15,5;15,5;15,5;24,5;24,5;24,5;24,5;23,5;32;32;32;31;31;31;31;31;31;18;18;4;4;4;4;6;6;6;10,5;20,5;20,5;20,5;20,5;23,5;23,5;23,5;23,5;31,5;32,5;32,5;32,5;25,5;25,5;25,5;25,5;18,5;18,5;18,5;18,5;8,5;8,5;8,5;8,5;26,5;22,5;22,5;22,5;13,5;13;13;13;16;16;16;26;30;30;30;32;26;26;26;26;19,5;19,5;19,5;19,5;16,5;16,5;16,5;16,5;20,5;26;26;26;27;27;27;27;30;25,5;25,5;25,5;16,5;16,5;16,5;16,5
Thiruvonam 2;28,5;28,5;33;33;29;29;29;29;16;16;16;10;17;17;17;17;26;26;26;26;25;19;19;19;18;18;18;18;18;18;30;30;16;16;16;16;18;18;18;11;21;21;21;21;24;24;24;24;27;27;27;27;20;20;20;20;19,5;19,5;19,5;19,5;9,5;9,5;9,5;9,5;27,5;27,5;31;31;22;22;21;21;24;24;19;19;23;23;23;23;16,5;16,5;16,5;16,5;18,5;28;28;28;28;28;28;28;29;17,5;17,5;17,5;18,5;18,5;18,5;18,5;21,5;21,5;26,5;26,5;17,5;17,5;17,5;17,5
Thiruvonam 3;28,5;28,5;33;33;29;29;29;29;16;16;16;10;17;17;17;17;26;26;26;26;25;19;19;19;18;18;18;18;18;18;30;30;16;16;16;16;18;18;18;11;21;21;21;21;24;24;24;24;26;27;27;27;20;20;20;20;19,5;19,5;19,5;19,5;9,5;9,5;9,5;9,5;27,5;27,5;31;31;22;22;21;21;24;24;19;19;23;23;23;22,5;16,5;16,5;16,5;16,5;28;28;28;28;28;28;28;28;29;17,5;17,5;17,5;18,5;18,5;18,5;18,5;21,5;21,5;26,5;26,5;17,5;17,5;17,5;17,5
Thiruvonam 4;28,5;28,5;33;33;29;29;29;29;16;16;16;10;17;17;17;17;26;26;26;26;25;19;19;19;18;18;18;18;18;18;30;30;16;16;16;16;18;18;18;11;21;21;21;21;24;24;24;26;27;27;27;27;20;20;20;20;19,5;19,5;19,5;19,5;9,5;9,5;9,5;9,5;27,5;31;31;31;22;22;21;21;24;24;19;19;23;23;23;22,5;16,5;16,5;16,5;16,5;28;28;28;28;28;28;28;28;29;17,5;17,5;17,5;18,5;18,5;18,5;18,5;21,5;21,5;26,5;26,5;17,5;17,5;17,5;17,5
Avittam 1;18,5;18,5;23;23;19;19;19;19;28;28;28;28;22;23;23;23;13;13;13;13;22;16;16;16;14;14;14;14;3;3;3;15;31;31;31;31;28;28;28;21;13;13;13;13;18;18;18;18;22;22;22;22;18;18;18;18;22,5;22,5;22,5;22,5;26,5;26,5;26,5;26,5;10,5;14;14;14;30;30;29;29;26;26;26;26;14;14;14;14;18,5;18,5;18,5;18,5;29;29;29;29;28;28;28;28;33;18,5;18,5;18,5;21,5;21,5;21,5;21,5;7,5;12,5;12,5;12,5;20,5;20,5;20,5;20,5
Avittam 2;18,5;18,5;23;23;19;19;19;19;28;28;28;28;23;23;23;23;13;13;13;13;22;16;16;16;14;14;14;14;3;3;3;15;31;31;31;31;28;28;28;28;13;13;13;13;18;18;18;18;22;22;22;22;18;18;18;18;22,5;22,5;22,5;22,5;26,5;26,5;26,5;26,5;10,5;14;14;14;30;30;29;29;26;26;26;21;14;14;14;14;18,5;18,5;18,5;18,5;29;29;29;29;28;28;28;28;33;18,5;18,5;18,5;21,5;21,5;21,5;21,5;7,5;12,5;12,5;12,5;20,5;20,5;20,5;20,5
Avittam 3;18,5;18,5;23;23;19;19;19;19;28;28;28;28;23;23;23;23;13;13;13;13;22;16;16;16;14;14;14;14;3;3;3;15;31;31;31;31;28;28;28;28;13;13;13;13;18;18;18;18;22;22;22;22;18;18;18;18;22,5;22,5;22,5;22,5;26,5;26,5;26,5;26,5;10,5;14;14;14;30;30;29;29;26;26;26;21;14;14;14;14;18,5;18,5;18,5;18,5;29;29;29;29;28;28;28;28;33;18,5;18,5;18,5;21,5;21,5;21,5;21,5;7,5;7,5;12,5;12,5;20,5;20,5;20,5;20,5
Avittam 4;18,5;18,5;23;23;19;19;19;19;28;28;28;28;23;23;23;23;13;13;13;13;22;16;16;16;14;14;14;14;3;3;3;15;31;31;31;31;28;28;28;28;13;13;13;13;18;18;18;18;22;22;22;22;18;18;18;18;22,5;22,5;22,5;22,5;26,5;26,5;26,5;26,5;10,5;14;14;14;30;30;29;29;26;26;26;21;14;14;14;14;18,5;18,5;18,5;18,5;29;29;29;29;28;28;28;28;33;18,5;18,5;18,5;21,5;21,5;21,5;21,5;7,5;7,5;12,5;12,5;20,5;20,5;20,5;20,5
Sathayam 1;16,5;16,5;21;21;26;26;26;26;32;32;32;26;21;21;21;21;22;22;22;22;15;9;9;9;7;7;7;7;15;15;27;27;29;29;29;29;32;32;32;32;25;19;19;19;13;13;13;15;9;9;9;9;26;26;26;26;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;23,5;27;27;27;21;21;20;20;22;22;22;17;20;20;20;19,5;21,5;21,5;21,5;21,5;17,5;27;27;27;33;33;33;33;28;16,5;16,5;16,5;7,5;7,5;7,5;7,5;18,5;18,5;23,5;23,5;19,5;19,5;19,5;19,5
Sathayam 2;16,5;16,5;21;21;26;26;26;26;32;32;32;26;21;21;21;21;22;22;22;22;15;9;9;9;7;7;7;7;15;15;27;27;29;29;29;29;32;32;32;32;25;19;19;19;13;13;13;15;9;9;9;9;26;26;26;26;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;23,5;27;27;27;21;21;20;20;22;22;22;17;20;20;20;19,5;21,5;21,5;21,5;21,5;17,5;27;27;27;33;33;33;33;28;16,5;16,5;16,5;7,5;7,5;7,5;7,5;18,5;18,5;23,5;23,5;19,5;19,5;19,5;19,5
Sathayam 3;14;14;16,5;16,5;21,5;21,5;21,5;21,5;27,5;27,5;27,5;27,5;23;23;23;23;24;24;24;24;17;15;15;15;13;13;13;13;21;21;21;21;23;23;23;23;26;26;26;32,5;26,5;26,5;26,5;26,5;20,5;20,5;20,5;20,5;3;3;3;3;20;20;20;20;18;18;18;18;24;24;24;24;21;21;28,5;28,5;22,5;22,5;22;22;24;24;24;22;25;25;25;25;29;29;29;29;16,5;16,5;16,5;16,5;22,5;22,5;22,5;22,5;17,5;28;28;28;22;22;22;22;30;30;21;21;17;17;17;17
Sathayam 4;14;14;16,5;16,5;21,5;21,5;21,5;21,5;27,5;27,5;27,5;27,5;23;23;23;23;24;24;24;24;17;15;15;15;13;13;13;13;21;21;21;21;23;23;23;23;26;26;26;32,5;26,5;26,5;26,5;26,5;20,5;20,5;20,5;20,5;3;3;3;3;20;20;20;20;18;18;18;18;24;24;24;24;21;21;28,5;28,5;22,5;22,5;22;22;24;24;24;22;25;25;25;25;29;29;29;29;16,5;16,5;16,5;16,5;22,5;22,5;22,5;22,5;17,5;28;28;28;22;22;22;22;30;30;21;21;17;17;17;17
Pooratadhi 1;10;10;12,5;12,5;25,5;25,5;25,5;25,5;17,5;17,5;17,5;17,5;28;28;28;28;22;22;22;22;19;17;17;17;14;14;14;14;22;22;22;22;19;19;19;19;16;16;16;22,5;31,5;31,5;31,5;31,5;20,5;20,5;20,5;20,5;10;10;10;10;11;11;11;11;22;22;22;22;18;18;18;18;21;28,5;28,5;28,5;17,5;17,5;17;17;14;14;14;12;30;30;30;32;29;29;29;29;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;8,5;19;19;19;28;28;28;28;33;33;21;21;20;20;20;20
Pooratadhi 2;10;10;12,5;12,5;25,5;25,5;25,5;25,5;17,5;17,5;17,5;17,5;28;28;28;28;22;22;22;22;19;17;17;17;14;14;14;14;22;22;22;22;19;19;19;19;16;16;16;22,5;31,5;31,5;31,5;31,5;20,5;20,5;20,5;20,5;10;10;10;10;11;11;11;11;22;22;22;22;18;18;18;18;21;28,5;28,5;28,5;17,5;17,5;17;17;14;14;14;12;30;30;30;30;29;29;29;29;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;8,5;19;19;19;28;28;28;28;33;33;21;21;20;20;20;20
Pooratadhi 3;10;10;12,5;12,5;25,5;25,5;25,5;25,5;17,5;17,5;17,5;17,5;28;28;28;28;22;22;22;22;19;17;17;17;14;14;14;14;22;22;22;22;19;19;19;19;16;16;16;22,5;31,5;31,5;31,5;31,5;20,5;20,5;20,5;20,5;10;10;10;10;11;11;11;11;22;22;22;22;18;18;18;18;21;21;28,5;28,5;17,5;17,5;17;17;14;14;14;12;30;30;30;30;29;29;29;29;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;8,5;19;19;19;28;28;28;28;33;33;21;21;20;20;20;20
Pooratadhi 4;10;10;12,5;12,5;25,5;25,5;25,5;25,5;17,5;17,5;17,5;17,5;28;28;28;28;22;22;22;22;19;17;17;17;14;14;14;14;22;22;22;22;19;19;19;19;16;16;16;22,5;31,5;31,5;31,5;31,5;20,5;20,5;20,5;20,5;10;10;10;10;11;11;11;11;22;22;22;22;18;18;18;18;21;21;28,5;28,5;17,5;17,5;17;17;14;14;14;12;30;30;30;30;29;29;29;29;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;8,5;19;19;19;28;28;28;28;33;33;21;21;20;20;20;20
Utthiratadhi 1;21;21;21;23,5;16,5;16,5;16,5;16,5;22,5;22,5;22,5;22,5;24;24;24;24;16;16;16;16;25;23;23;23;23;23;23;23;16;16;16;16;20;20;20;20;20;20;20;26,5;21,5;21,5;21,5;21,5;34,5;34,5;34,5;34,5;16;16;16;16;5;5;5;5;20;20;20;20;17;17;17;17;15;15;22,5;22,5;27,5;27,5;27;27;26;26;26;24;19;19;19;21;32;32;32;32;17,5;17,5;17,5;17,5;8,5;8,5;8,5;8,5;13,5;24;24;24;33;33;33;33;28;28;19;19;19;19;19;19
Utthiratadhi 2;21;21;21;23,5;16,5;16,5;16,5;16,5;22,5;22,5;22,5;22,5;24;24;24;24;16;16;16;16;25;23;23;23;23;23;23;23;16;16;16;16;20;20;20;20;20;20;20;26,5;21,5;21,5;21,5;21,5;34,5;34,5;34,5;34,5;16;16;16;16;5;5;5;5;20;20;20;20;17;17;17;17;15;15;22,5;22,5;27,5;27,5;27;27;26;26;26;24;19;19;19;21;32;32;32;32;17,5;17,5;17,5;17,5;8,5;8,5;8,5;8,5;13,5;24;24;24;33;33;33;33;28;28;19;19;19;19;19;19
Utthiratadhi 3;21;21;21;23,5;16,5;16,5;16,5;16,5;22,5;22,5;22,5;22,5;24;24;24;24;16;16;16;16;25;23;23;23;23;23;23;23;16;16;16;16;20;20;20;20;20;20;20;26,5;21,5;21,5;21,5;21,5;34,5;34,5;34,5;34,5;16;16;16;16;5;5;5;5;20;20;20;20;17;17;17;17;15;22,5;22,5;22,5;27,5;27,5;27;27;26;26;26;24;19;19;19;19;32;32;32;32;17,5;17,5;17,5;17,5;8,5;8,5;8,5;8,5;13,5;24;24;24;33;33;33;33;28;19;19;19;19;19;19;19
Utthiratadhi 4;30;30;21;21;14;14;14;14;20;20;20;23,5;24,5;24,5;24,5;24,5;16,5;16,5;16,5;16,5;25,5;27;27;27;27;27;27;27;20;20;15,5;15,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;15,5;10,5;10,5;10,5;10,5;23,5;23,5;23,5;35;28;28;28;28;17;17;17;17;19;19;19;19;16;16;16;16;14;14;16;16;21;21;22;22;21;21;21;23,5;18,5;18,5;18,5;18,5;27,5;27,5;27,5;27,5;22,5;22,5;22,5;22,5;13,5;13,5;13,5;13,5;18,5;14;14;14;23;23;23;23;23;18;28;28;31;31;31;31
Revati 1;34;34;22;22;26;26;26;26;9;9;9;12,5;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;27,5;29;29;29;27;27;27;27;31;31;26,5;26,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;7,5;20,5;20,5;20,5;20,5;17,5;17,5;17,5;17,5;34;34;34;34;23;23;23;23;26;17;17;17;6;6;6;6;24;24;26;26;20;20;21;21;21;21;21;23,5;29,5;29,5;29,5;27,5;15,5;15,5;15,5;15,5;20,5;21,5;21,5;21,5;17,5;17,5;17,5;17,5;22,5;18;18;18;18;18;18;18;23;23;33;33;28;28;28;28
Revati 2;34;34;22;22;26;26;26;26;9;9;9;12,5;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;27,5;29;29;29;27;27;27;27;31;31;26,5;26,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;7,5;20,5;20,5;20,5;20,5;17,5;17,5;17,5;17,5;34;34;34;34;23;23;23;23;26;17;17;17;6;6;6;6;24;24;26;26;20;20;21;21;21;21;21;23,5;29,5;29,5;29,5;27,5;15,5;15,5;15,5;15,5;20,5;21,5;21,5;21,5;17,5;17,5;17,5;17,5;22,5;18;18;18;18;18;18;18;23;23;33;33;28;28;28;28
Revati 3;34;34;22;22;26;26;26;26;9;9;9;12,5;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;27,5;29;29;29;27;27;27;27;31;31;26,5;26,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;7,5;20,5;20,5;20,5;20,5;17,5;17,5;17,5;17,5;34;34;34;34;23;23;23;23;17;17;17;17;6;6;6;6;24;24;26;26;20;20;21;21;21;21;21;23,5;29,5;29,5;29,5;27,5;15,5;15,5;15,5;15,5;21,5;21,5;21,5;21,5;17,5;17,5;17,5;17,5;22,5;18;18;18;18;18;18;18;23;23;33;33;28;28;28;28
Revati 4;34;34;22;22;26;26;26;26;9;9;9;12,5;20,5;20,5;20,5;20,5;26,5;26,5;26,5;26,5;27,5;29;29;29;27;27;27;27;31;31;26,5;26,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;7,5;20,5;20,5;20,5;20,5;17,5;17,5;17,5;17,5;34;34;34;34;23;23;23;23;17;17;17;17;6;6;6;6;24;24;26;26;20;20;21;21;21;21;21;23,5;29,5;29,5;29,5;27,5;15,5;15,5;15,5;15,5;21,5;21,5;21,5;21,5;17,5;17,5;17,5;17,5;22,5;18;18;18;18;18;18;18;23;23;33;33;28;28;28;28
